testId;confId;B*_cf1;B*_cf4;B*_cf6;B*_cfx;MatchesShort;MatchesLong;ControlMatchShort;ControlMatchLong;C_rax1;C_rax2;C_rax3;C_rax4;C_rax5;C_rax6;C_cf1;C_cf4;C_cf6;C_cfx;CalcC_rax1;CalcC_rax2;CalcC_rax3;CalcC_rax4;CalcC_rax5;CalcC_rax6;CalcC_cf1;CalcC_cf4;CalcC_cf6;CalcC_cfx;PathL_rax1;PathL_rax2;PathL_rax3;PathL_rax4;PathL_rax5;PathL_rax6
1;2;0;0;-4;0;TRUE;FALSE;TRUE;FALSE;-89.9995;9.75718;-56.3901;134.999;57.1728;-135.001;-1;1;-2;0;-90.0009;9.75799;-56.39;134.999;57.1728;-135.001;-2;1;-2;0;-90.0009;9.75799;-56.39;134.999;57.1728;-135.001
2;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;-134.998;4.65216;49.6706;-89.9992;46.9753;135.001;-2;-1;1;0;-134.999;4.65286;49.6707;-89.9991;46.9753;135.001;-2;-1;1;0;-134.999;4.65286;49.6707;-89.9991;46.9753;135.001
3;8;0;0;4;0;FALSE;TRUE;FALSE;TRUE;-90.0008;1.44038;-73.8031;180;38.6896;270;-2;1;2;0;-90.0003;1.44106;-73.8029;180;38.6896;270;-2;1;2;0;-90.0003;1.44106;-73.8029;180;38.6896;270
4;1;0;-4;-4;0;FALSE;TRUE;FALSE;TRUE;-45.0005;-31.5633;47.7186;-180;48.1857;-360;-1;-3;-5;0;-45.0002;-31.5629;47.7187;-180;48.1857;-360;-1;-3;-5;0;-45.0002;-31.5629;47.7187;-180;48.1857;-360
4;4;0;-4;0;0;TRUE;FALSE;TRUE;FALSE;-45.0004;-31.5632;47.7186;-180;48.1857;-0.000281301;-1;-3;-1;0;-45.0002;-31.5629;47.7187;-180;48.1857;-0.000255789;-1;-3;-1;0;-45.0002;-31.5629;47.7187;-180;48.1857;-0.000259711
7;5;0;0;0;0;FALSE;TRUE;FALSE;TRUE;44.999;-31.3911;42.3905;-90.0007;50.524;-45.0007;0;-2;-1;0;44.9993;-31.3907;42.3905;-90.0007;50.524;-45.0007;0;-2;-1;0;44.9993;-31.3907;42.3905;-90.0007;50.524;-45.0007
9;2;0;0;-4;0;TRUE;FALSE;TRUE;FALSE;-45;43.2233;-17.9696;90.0002;1.39896;-180;-1;1;-2;0;-44.9999;43.2234;-17.9696;90.0001;1.39897;-180;-1;1;-2;0;-44.9999;43.2234;-17.9696;90.0001;1.39897;-180
12;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;-0.00124788;-50.3471;42.4098;134.999;56.0046;89.9992;-1;1;0;0;-0.000837912;-50.3464;42.4104;134.999;56.0045;89.9992;-1;1;0;0;-0.000837922;-50.3464;42.4104;134.999;56.0045;89.9992
14;5;0;0;0;0;FALSE;TRUE;FALSE;TRUE;-45;5.08416;-72.8112;-89.9994;24.557;-44.9988;-1;-1;-1;0;-44.9991;5.08498;-72.811;-89.9991;24.557;-44.9991;-1;-1;-1;0;-44.9991;5.08497;-72.811;-89.9991;24.557;-44.999
14;8;0;0;4;0;TRUE;FALSE;TRUE;FALSE;-44.9999;5.08409;-72.8113;-89.9993;24.5571;315.001;-1;-1;3;0;-44.9991;5.08498;-72.811;-89.9991;24.557;315.001;-1;-1;3;0;-44.9991;5.08497;-72.811;-89.9991;24.557;315.001
16;2;0;0;-4;0;FALSE;TRUE;FALSE;TRUE;-0.00012346;2.38183;-19.2432;135;11.7722;-360;-1;1;-4;0;2.68408E-5;2.38228;-19.2432;135;11.7722;-360;0;1;-4;0;2.69129E-5;2.38228;-19.2432;135;11.7722;-360
16;5;0;0;0;0;TRUE;FALSE;TRUE;FALSE;-0.000217937;2.38144;-19.2433;135;11.7722;-0.000148033;-1;1;-1;0;2.68408E-5;2.38228;-19.2432;135;11.7722;3.5699E-5;0;1;0;0;2.67627E-5;2.38228;-19.2432;135;11.7722;3.72146E-5
